tweet_text,class_label
Donations Update! Thanks for helping #Ecuador ’s victims and the future of fine cacao.,rescue_volunteering_or_donation_effort
"RT @NBCNews: UPDATE: At least 77 dead, 588 wounded in #Ecuador earthquake",injured_or_dead_people
RT @baldita: If youre interested in making donations from abroad for earthquake victims in Ecuador:,rescue_volunteering_or_donation_effort
RT @UNICEF_uk: #EcuadorEarthquake: We have emergency supplies like water kits &amp; tents on standby in surrounding countries if rapid response,rescue_volunteering_or_donation_effort
Spanish Cooperation Agency @AECID ready to provide assistance to #EcuadorEarthquake,rescue_volunteering_or_donation_effort
"RT @TIME: Death toll in the Ecuador earthquake has risen to at least 233, the countrys president said",injured_or_dead_people
RT @ITU: .@ITU emergency communications team being deployed to #EcuadorEarthquake to strengthen response efforts of Govn + aid teams on the,rescue_volunteering_or_donation_effort
Ecuador earthquake rescue operation – in pictures: The strongest earthquake to hit Ecuador in   via @josephjett,other_relevant_information
"6 Colombians killed in Ecuador earthquake, 75 still missing: At least six Colombians died in the earthquake th",injured_or_dead_people
"Please help support Apoyo a Ecuador, add a #Twibbon now!",requests_or_urgent_needs
@Harry_Styles please tell me that everything will be allright. Dear Harry pray for Ecuador please I need you. We need all of you.,sympathy_and_support
"ECUADOR GOVERNMENT REVEALING 238 DEATHS IN EARTHQUAKE 7,4 DEGREES LAST NIGHT.",injured_or_dead_people
RT @AlexanderXV: @AlexanderXV #Ecuador #Earthquake @andradivo My sister &amp; others are injured without care at #Pedernales.Need help please t,requests_or_urgent_needs
RT @telesurenglish: #EcuadorEarthquake: Shocking images captured with a drone show the destruction caused by the 7.8 earthquake. .,infrastructure_and_utility_damage
Mindo comes together to help hose affected on the coast #EcuadorEarthquake #EcuadorListoYSolidario,rescue_volunteering_or_donation_effort
"RT @Lucho_teleSUR: This team managed, 40 hours after the earthquake, to find a survivor under the debris here in Portoviejo, Ecuador :",rescue_volunteering_or_donation_effort
RT @kellcmurphy: Ecuador being marked the strongest earthquake of 2016. Absolutely crazy and scary. I hope everyone is ok ὤFἿB please stay sa,sympathy_and_support
"Donate! your help is important. If you are in the UK, you can donate through OXFAM  #Ecuador #UK #Donate",rescue_volunteering_or_donation_effort
RT @AP_Interactive: A powerful earthquake in Ecuador has left hundreds dead and over a thousand injured:  .,injured_or_dead_people
Ecuador earthquake leaves more than 200 dead - BBC News,injured_or_dead_people
"RT @Everette: prayers go out to those affected by the earthquake in Ecuador and parts of Colombia. crazy to be so close, counting my blessi",sympathy_and_support
"RT @WFP_Media: #EcuadorEarthquake: Details of @WFPs emergency response so far, in close coordination w. Govt of #Ecuador:",other_relevant_information
RT @MarshaCollier: #Microsoft helps friends and families of Japan and Ecuador earthquake victims with free #Skype calls,rescue_volunteering_or_donation_effort
"NEW: Death toll from earthquake in Ecuador reached 233, 1500+ injured",injured_or_dead_people
"RT @rt_play: 233 killed, almost 600 injured in #EcuadorEarthquake, evacuations underway",injured_or_dead_people
RT @MariaLuisaMoreo: #EcuadorEarthquake of 7.8 magnitude kills dozens,injured_or_dead_people
Toll Expected to Rise Further After 272 Killed in Ecuador Quake,injured_or_dead_people
RT @colombiareports: Death Toll in Ecuador Earthquake Climbs as Correa Tours Ravaged Areas - Wall Street Journal  #c,injured_or_dead_people
"Quitos Mayor @MauricioRodasEC in Carolina Park, mentions Avianca Airlines provides help to ship aid #EcuadorEarthquake",rescue_volunteering_or_donation_effort
RT @NoControlProjec: Please donate anything you can to help those in need in Ecuador #PrayForEcuador,requests_or_urgent_needs
"RT @Wxetctv: 2nd major #earthquake within days: @BBC #BreakingNews - 1st #Japan, now #EcuadorEarthquake of 7.8 mag kills dozens",injured_or_dead_people
RT @PatriciamSambo: @TheRealSambora @orianthi We need to pray for the people of Japan and now Ecuador. Please keep them in your ❤️ &amp; ὤF http,sympathy_and_support
RT @iamdanielskye: My thoughts and prayers go out to the earthquake victims in Japan,sympathy_and_support
"RT @DylanTheMan37: My thoughts and prayers ὤFἿB go out to all those affected by the earthquakes that struck Japan last week, and Ecuador tod",sympathy_and_support
Dave you actually can help us and it will mean a lot @DaveMustaine,requests_or_urgent_needs
"RT @telesurenglish: Puente Mejia in Ecuadors coastal province of Manabi, one of earthquake-affected areas  /",other_relevant_information
"RT @NewsHour: On Sat., an earthquake of the same magnitude struck Ecuador’s coast, killing at least 272, injuring more than 2,000",injured_or_dead_people
RT @unicefusa: Help children affected by the #EcuadorEarthquake. Text RELIEF to 864233 to donate $10 in support of UNICEFs relief efforts.,rescue_volunteering_or_donation_effort
RT @OmarImranTweets: Earthquake in Ecuador. 77 Dead. These disasters are reminders that we dont know when it could be our last moment with,injured_or_dead_people
"Death toll soars after 7.8-magnitude earthquake strikes Ecuador: Apr 17, 2016; 9:52 AM ET A magnitude-7.8 eart",injured_or_dead_people
RT @papermalaysia: Death toll rises to 262 in Ecuador earthquake  #news #malaysiannews #berita #latestnews,injured_or_dead_people
"The death toll from the earthquake in #Ecuador up to 350, according to the Minister of Security",injured_or_dead_people
RT @Noorie_87: #RedCross teams are responding to a 7.8 earthquake in #Ecuador. You can donate to @redcrosscanada:  #,rescue_volunteering_or_donation_effort
"Israeli aid workers join relief efforts in quake-rattled Japan, Ecuador – Jerusalem Post Israel News #757Live",rescue_volunteering_or_donation_effort
@ BBC News Ecuador quake death toll rises to 350 - The number of people killed in a powerful earthquake that st,injured_or_dead_people
RT @malaysiakini: Ecuador quake death toll rises to 350 as EU offers 1 million in aid,injured_or_dead_people
Sites and orgs that are helping with relief efforts listed here:,other_relevant_information
.#Ecuador Views - Our condolence is with the victims of the recent earthquake in Ecuador.,sympathy_and_support
RT @nbcbayarea: Everything is destroyed: Death toll surges to 233 after magnitude-7.8 quake hits Ecuador.,injured_or_dead_people
"RT @AppleVsTidal: Our thoughts are going out to the people of Ecuador, they have just had a 7.8 magnitude Earthquake! #PrayForEcuador",sympathy_and_support
"As we r commemorating the 1906 quake today, we reflect on the importance of community. Our thoughts r w/ those in #Ecuador &amp; #Japan.",sympathy_and_support
Terrifying moment 7 8 magnitude earthquake strikes in Ecuador Daily Mail Online:  via @YouTube,caution_and_advice
RT @BBCWorld: Ecuador quake death toll hits 413,injured_or_dead_people
RT @KarlJCompton: My ❤️ goes to all the victims of the Earthquake in Ecuador. Mother Nature can be cruel sometimes.,sympathy_and_support
RT @ArjunGuptaBK: Love light and prayers to all those affected by the earthquake in Ecuador! #EcuadorEarthquake,sympathy_and_support
Ecuador needs your help. Please head over to our earthquake relief fund by following the link,requests_or_urgent_needs
"RT @Fash_Rev: Our thoughts are with our team in Ecuador today, led by @domingaecuador, and everyone affected by yesterdays earthquake",sympathy_and_support
"RT @selenis_leyva: @TaylorChaapman I pray for all nations people, the world . Ecuador had awful earthquake today thats why today I spoke o",sympathy_and_support
RT @OT4WWUpdates: Our thoughts and prayers are with those affected by the earthquake in Ecuador. Hope everyone is safe ❤️,sympathy_and_support
RT @worldvisioncan: Death toll continues to rise after #EcuadorEarthquake. Now at 233. Sending thoughts and prayers to those affected.,injured_or_dead_people
Ecuador - Canoa Earthquake Emergency Relief Fund,rescue_volunteering_or_donation_effort
Gallery: 7.8 quake hits Ecuador: See images of the devastation from a 7.8-magnitude earthquake that struck Ecu,infrastructure_and_utility_damage
"RT @abc7newsBayArea: PHOTOS: Powerful #EcuadorEarthquake kills at least 233, injures over 1,000 people.",injured_or_dead_people
Ecuador quake death toll rises to 350  Via (Harradox),injured_or_dead_people
#EcuadorEarthquake - My heart goes out to everyone affected by the earthquake in #Ecuador,sympathy_and_support
"RT @ChuckRobbins: Our thoughts, prayers go out to those impacted by the earthquake in Ecuador. @Cisco will provide any support needed duri",sympathy_and_support
RT @RepdelCacao: the latest from @nytimes on #EcuadorEarthquake  if you want to donate go to,rescue_volunteering_or_donation_effort
President of #Ecuador tweets death toll from #earthquake is now 233,injured_or_dead_people
413 killed by earthquake in Ecuador believe that the figure may aumentar.y 319 aftershocks,injured_or_dead_people
RT @joivanjimenez: Lets pray for our family in Ecuador! #Ecuador #Earthquake #weareprayingforyou #OremosporEcuador,sympathy_and_support
RT @NBCPhiladelphia: Tragedy in Ecuador: At least 77 people are dead after an earthquake rocked the small country. Details:,injured_or_dead_people
"The Futbol World Pays Tribute to the Victims of Ecuador’s Earthquake: On Saturday evening, a devastating",sympathy_and_support
Click here to support Help Ecuadors earthquake victims by Jose Chiriboga,rescue_volunteering_or_donation_effort
RT @PSYCHICTWINS: Biggest quake since 1979: 233 Dead After 7.8 Earthquake Hits Near Ecuadors Coast. Prayers to all.,injured_or_dead_people
RT @LatAmINVESTOR: If youre in the UK you can help Ecuadors earthquake victims by donating to this charity  :,rescue_volunteering_or_donation_effort
Ecuador’s Death Toll Continues To Rise After 7.8 Earthquake And Aftershocks  via Susan Macdonald,injured_or_dead_people
RT @Kathleen_Wynne: Devastating news from #Ecuador this morning. Thoughts &amp; prayers are with those killed &amp; injured in the earthquake as we,sympathy_and_support
"Lasting Bloom is focusing its efforts to support victims of Ecuador, the world’s natural paradise.",rescue_volunteering_or_donation_effort
RT @AFP: #BREAKING Ecuador quake death toll reaches 272 and number will rise - president,injured_or_dead_people
Im pretty sure Red Cross,rescue_volunteering_or_donation_effort
Ecuadors National Assemblys top earners will donate 10% of salaries from April and May to earthquake victims.,rescue_volunteering_or_donation_effort
"RT @cnnbrk: At least 28 people are confirmed dead in the earthquake in Ecuador, the vice president says.  .",injured_or_dead_people
I can´t sleep.in alert #SismoEcuador #terremoto #prayforecuador #EcuadorEarthquake,sympathy_and_support
"RT @AthenieVeron: #prayforecuador #prayforworld Please, pray for Ecuador, pray for people ecuadorian, pray for",sympathy_and_support
RT @2morrowknight: Heres how you can help the children affected by the #EcuadorEarthquake / #SismoEcuador,rescue_volunteering_or_donation_effort
RT @gami21_jagmac: Thoughts and prayers go out to all those who have been affected by the earthquake in Ecuadorὡ4Ὁ4This truly is terrible ):,sympathy_and_support
The best .#Ecuador food Our May harvest is right around the corner. Here the yellow Pitaha,other_relevant_information
RT @Number10gov: PM: Tragic news from #Ecuador. My thoughts with all those affected by the terrible earthquake. The UK will offer any suppo,sympathy_and_support
RT @clexaprepon: If you wanna help my country please donate we need your help  #ecuador,requests_or_urgent_needs
RT @GlobalGiving: Donate to @GlobalGiving for #EcuadorEarthquake to support locally driven relief and recovery  http,rescue_volunteering_or_donation_effort
Please help us support all the victims of this horrible tragedy in Ecuador #PrayForEcuador #TerremotoEcuador,sympathy_and_support
RT @telesurenglish: Ecuador earthquake leaves dozens dead and hundreds injured.  #SismoEcuador,injured_or_dead_people
Terrible and sad news! Today I pray for all the victims ὤFἿC #earthquake #EcuadorUnido,sympathy_and_support
BBCWorld: Ecuador quake death toll to rise,injured_or_dead_people
@MarcAnthony Donations PNUD (ONU) BankAccount BankofAmerica Acc. 3751560139 Bank type ZBA bank ID 111000012 Acct. Name UNDP REP IN Ecuador,rescue_volunteering_or_donation_effort
RT @EmbajadaEcuUSA: ATTENTION: donations for the victims of #Ecuador can be made using the accounts in this link &gt;&gt;,rescue_volunteering_or_donation_effort
RT @KristieKenney: My prayers go out to the victims of the earthquake in Ecuador. My heart is with my Ecuadorian friends.,sympathy_and_support
: RT STcom: LATEST: Death toll in devastating #EcuadorEarthquake rises to at least 233,injured_or_dead_people
Please be in prayer for Ecuador. There was a 7.8 earthquake on the coast yesterday. We are safe but so far 77 reported dead and 578 injured.,injured_or_dead_people
RT @AP: Ecuadors president says death toll from magnitude-7.8 quake has surged to at least 233:,injured_or_dead_people
"Earthquake kills 77 in Ecuador, devastates coastal area  #Africa #SouthAfrica",injured_or_dead_people
"RT @michaeldickson: Proud that my country, Israel, has medical teams assisting victims of the devastation of #EcuadorEarthquake and #JapanE",rescue_volunteering_or_donation_effort
RT @2pmalways: [INFO] Part of the 2PM Take Off &amp; Story game profits will be donated to the Kumamoto earthquakes relief fund. ὠA,rescue_volunteering_or_donation_effort
RT @jilevin: Ecuador Earthquake: Death Toll Rises to 238,injured_or_dead_people
RT @julito77: Ecuador Begins Relief Efforts Following Deadly 7.8-Magnitude Earthquake  via @LatinoUSA,rescue_volunteering_or_donation_effort
#EcuadorEarthquake @jimmyfallon help our country by telling USA we need help #TerremotoEcuador,requests_or_urgent_needs
RT @BuzzFeedNews: Ecuador Vice President Jorge Glas updates earthquake death toll to 41,injured_or_dead_people
Ecuador Earthquake Relief Fund | Evelyn Velas Fundraiser,rescue_volunteering_or_donation_effort
RT @buterasbiebz: Im sending my prayers to the people in Ecuador. Stay safe. #EcuadorEarthquake,sympathy_and_support
"RT @France24_en: VIDEO - Ecuador earthquake: Rescue teams race to find survivors, at least 272 killed",injured_or_dead_people
My prayers go out to the country of #Ecuador stay strong we are praying for you #EcuadorEarthquake,sympathy_and_support
@DaveMustaine Ecuadorians need volunteers to rescue victims of #EcuadorEarthquake . SOS,rescue_volunteering_or_donation_effort
"RT @ABC7: #EcuadorEarthquake death toll rises to at least 41, vice president says",injured_or_dead_people
"RT @EdnaSchmidt: Im in Ecuador right now, Begging 4 help in Canoa, pacific coast. There is no way to get there by road. People r in desper",requests_or_urgent_needs
Now the number of deaths went up to 233 ὡE,injured_or_dead_people
Terrible news. Our thoughts and prayers to those impacted by the Ecuador earthquake and the recent one in Japan.,sympathy_and_support
@ BBC News Ecuador quake toll rises to 233 - At least 233 people are confirmed dead after a powerful earthquake,injured_or_dead_people
RT @TheSocBiz: Info here for donations to @cruzrojaecuador for their #EcuadorEarthquake work cc @andybanjobrown @oneplanetman,rescue_volunteering_or_donation_effort
Donations from people and machinery of Prefecture of El Oro arrived to the earthquake-affected areas in Pedernales.,rescue_volunteering_or_donation_effort
RT @vargasmoni: #PrayForEcuador ὤFἿD἞A἞8 Empire State Building with Ecuadors flag !!,sympathy_and_support
Bay Area Couple Survives Deadly Ecuador 7.8 Earthquake  #sanfrancisco,injured_or_dead_people
@TheEllenShow Ecuador needs the help of everyone. Please!,requests_or_urgent_needs
"RT @timesofoman: Prayers for #Ecuador, #Japan quake victims",sympathy_and_support
"Ecuador quake toll rises to 233 dead: The quake, felt across Ecuador, northern Peru and southern Colombia, str",injured_or_dead_people
Check it out! Donate to Unofficial Ecuador Earthquake Relief  vía @gofundme,rescue_volunteering_or_donation_effort
"RT @israel_flash: ✡ #Israel #21C broadcast by #TheIsraelCompany✡: Israeli aid teams join relief operations in Japan, Ecuador",rescue_volunteering_or_donation_effort
RT @ReportUK: Ecuador earthquake death toll jumps as daylight reveals scale of devastation.,injured_or_dead_people
@jimmyfallon we need of your help que need donations for our country #EcuadorEarthquake there are many families in need ὢ2,rescue_volunteering_or_donation_effort
"278 people died, 2068 are were injured, and the government rejects the help from Mexico ὢ1ὢ0",injured_or_dead_people
"RT @BreakingNews: Ecuador earthquake death toll jumps to 413, government says - Reuters, AFP",injured_or_dead_people
A 7.8 earthquake hit Ecuador Apri16. 233 dead and 600+ injured. Please donate to help us offer emergency relief,injured_or_dead_people
RT @adriemilia: If you want to help #Ecuador here is a link where you can donate #PrayForEcuador #SismoEcuador,rescue_volunteering_or_donation_effort
RT @CNNImpact: The #EcuadorEarthquake left hundreds of people dead and injured. We have ways you can help:  /,injured_or_dead_people
RT @GlobalGiving: Support locally driven relief efforts in #Ecuador after the 7.8M earthquake/#temblor,rescue_volunteering_or_donation_effort
"RT @AFP: Ecuador raises earthquake death toll to about 350, updating earlier count of 272",injured_or_dead_people
"Quake kills 272 along devastated Ecuador coast  | etribune, Sports",injured_or_dead_people
RT @SamaritansPurse: We are rushing help to #EcuadorEarthquake survivors. Learn more:,rescue_volunteering_or_donation_effort
#Catholic Relief Services gears up response to #Ecuador quake - #Vatican Radio @Pontifex,rescue_volunteering_or_donation_effort
"RT @cnni: A 7.8-magnitude quake has killed at least 41 in #Ecuador, authorities say.",injured_or_dead_people
A student in my class is from Ecuador. I donated to Ecuadors Earthquake Victims  via @gofundme,rescue_volunteering_or_donation_effort
How you can help - An unknown number of people are trapped in the debris of Ecuadors biggest earthquake in dec,sympathy_and_support
RT @GMA: Drone footage shows collapsed roadway in Ecuadors largest city after 7.8-magnitude quake:,infrastructure_and_utility_damage
You can directly contribute to the #earthquake victims in #Pedernales by donating to the following account:,rescue_volunteering_or_donation_effort
RT @GisellaTV: #PrayForEcuador A Prayer for Victims of the Earthquake We mourn the death and destruction in,sympathy_and_support
RT @XHNews: Latest: Death toll for 7.8 magnitude #EcuadorEarthquake climbs to 235. Our hearts go out to the people of #Ecuador,injured_or_dead_people
Colombia sends aid and rescue workers to help Ecuador in earthquake aftermath - Colombia Reports  #Colombia,rescue_volunteering_or_donation_effort
RT @sikuanga: Retweeted John Kerry (@JohnKerry): My heartfelt condolences to victims of earthquake in Ecuador. US stands ready /,sympathy_and_support
RT @flawlessbobby: praying for everyone who was affected by the earthquake in Ecuador ὤF so sad what happened ὡ4,sympathy_and_support
Just landed in Quito - on our way to the coast to report from worst affected areas,other_relevant_information
"Hundreds death, thousands without homes, towns completely destroyed #Donate #Help #Earthquake #Ecuador",injured_or_dead_people
@RSLfan203 couldnt watch the match because of the earthquake here in Ecuador.Im fine bt there are many buildings destroyed #PrayForEcuador,infrastructure_and_utility_damage
RT @UNICEF: Children &amp; families affected by #EcuadorEarthquake need your help:  @unicefecuador,rescue_volunteering_or_donation_effort
"RT @ErinLaviola: 272 people killed, more than 2500 hurt in #EcuadorEarthquake",injured_or_dead_people
RT @grabiel_ch: You can provide real help to the victims of the #EcuadorEarthquake by donating directly to the Ecuadorean Red Cross: :,rescue_volunteering_or_donation_effort
RT @shiroistar: After this huge earthquake #Ecuador needs our help ὊA!! #EcuadorEarthquake #EcuadorListoYSolidario #news #journalist,rescue_volunteering_or_donation_effort
RT @NBCNews: LATEST: At least 41 dead after massive Ecuador earthquake,injured_or_dead_people
"First #Japan, now #Ecuador #earthquake. Prayers for the victims.",sympathy_and_support
RT @shadohchaser: @HillaryClinton loveὉ3 u pray for EcuadorὤF,sympathy_and_support
